model,acc_mean,acc_std,auc_mean,auc_std
resnet50,0.8331034482758621,0.01034227299236964,0.8900241434222016,0.0076862900232614354
dino_vitb16,0.8137931034482758,0.021368183979075396,0.8780089382031129,0.013565639172884983
uni,0.8579310344827586,0.0064038566791650995,0.916530538860636,0.008053919445911056
