model,accuracy,auc,train_size,test_size,feature_dim
uni,0.8004094165813715,0.8692688636772916,2175,977,1024
resnet50,0.7963152507676561,0.8671438861876463,2175,977,2048
dino_vitb16,0.7830092118730808,0.8570502431118314,2175,977,768
